REFNUM,town,County,Postcode,Region,job_function,Job_role_desc,Job_level_desc,Employee_desc,Turnover_desc,SIC_desc,sic_division_desc,sic_section_desc,business_class_desc,REF
emb2b_31596704,LEEDS,West Yorkshire,LS15 8ZB,England North East,Site Share Financial Auditor; Finance;,Financial,Partner,G:200-349,K:21M-50M,61900 - Other telecommunications activities,61 - Telecommunications,J - Information and Communications,Telecommunication Services (E1632),Project CRV2
emb2b_31596706,RUNCORN,Cheshire,WA7 4JE,England North West,Operations Asset Manager; Finance; Manager;,Financial,Manager,M:10000+,Q:1B+,20140 - Manufacture of other organic basic chemicals; 20590 - Manufacture of other chemical products n.e.c.,20 - Manufacture of chemicals and chemical products; 20 - Manufacture of chemicals and chemical products,C - Manufacturing; C - Manufacturing,Chemicals And Allied Products (E2840),Project CRV2
emb2b_31596708,MANSFIELD,Nottinghamshire,NG18 4FW,England East Midlands,Graphic Designer; Design;,Design,Director,D:20-49,G:2.1M-5M,74100 - specialised design activities,74 - Other professional / scientific / technical activities,M - Professional / Scientific / Technical Activities,Advertising Services (E1598),Project CRV2
emb2b_31596709,MILTON KEYNES,Buckinghamshire,MK9 3BP,England South East,Urban Designer And Architect; Design;,Design,Director,E:50-99,I:7.6M-10M,82990 - Other business support service activities n.e.c.,82 - Office administrative / office support / other business support activities,N - Administrative and Support Service Activities,Architectural Services (E1621),Project CRV2
emb2b_31596711,DIDCOT,Oxfordshire,OX11 0QX,England South East,Battery Research Engineer; Education;,Academia,CxO,D:20-49,A:1-100k,71122 - Engineering related scientific and technical consulting activities; 72190 - Other research and experimental development on natural sciences and engineering,71 - Architectural and engineering activities; technical testing and analysis; 72 - Scientific research and development,M - Professional / Scientific / Technical Activities; M - Professional / Scientific / Technical Activities,Industrial Engineers (E2254),Project CRV2
emb2b_31596712,LONDON,London,WC1H 9LT,England London,Finance Manager; Finance; Manager;,Financial,Manager,A:1-5,D:501k-750k,41100 - Development of building projects,41 - Construction of buildings,F - Construction,Corporate And Business Hospitality (E3151),Project CRV2
emb2b_31596715,LEEDS,West Yorkshire,LS10 1AB,England North East,Finance Director; Finance; Director;,Financial,Director,A:1-5,D:501k-750k,62090 - Other information technology service activities,62 - Computer programming / consultancy / related activities,J - Information and Communications,Computer Systems And Software (development) (E1005),Project CRV2
emb2b_31596717,GLOUCESTER,Gloucestershire,GL4 3QU,England South West,Physical Education Teacher; Education;,Academia,CxO,F:100-199,J:11M-20M,##### - Unclassified,## - Unclassified,# - Unclassified,Construction Contractors - General (E1344),Project CRV2
emb2b_31596718,SOUTHAMPTON,Hampshire,SO45 4PT,England South East,Independent Financial Planner; Finance;,Financial,Partner,A:1-5,C:201k-500k,64999 - Financial intermediation not elsewhere classified,64 - Financial service activities / except insurance / pension funding,K - Financial and Insurance Activities,Financial Services (E1616),Project CRV2
emb2b_31596719,SOUTHAMPTON,Hampshire,SO31 7DU,England South East,Music Teacher; Education;,Academia,CxO,D:20-49,G:2.1M-5M,##### - Unclassified,## - Unclassified,# - Unclassified,Schools - Local Authority (E3153),Project CRV2
